"year","STATION_NAME","PRCP","LATITUDE","LONGITUDE","ELEVATION","TMAX","TMIN","del_TT_Deg_Celsius","DMI","Nino34","u_wind_200","u_wind_600","u_wind_850","v_wind_200","v_wind_600","v_wind_850","X20E","X70E","X80E","X100E","X120E","X140E","X160E","X120W","X40W","X10W","NAO","EA","WP","EPNP","PNA","EAWR","SCA","TNH","POL","SolarFlux","TempAnomaly"
1978,"CALCUTTA DUM DUM IN",15,22.65,88.45,6,320,260,-20.61999128,21,-0.29,-8.7399916125,-1.9799917635,-0.0699918065,-0.754991791,1.3550081615,2.530008135,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"BOMBAY SANTACRUZ IN",51,19.117,72.85,14,300,250,-21.10499127,21,-0.43,-14.18999149,1.980008148,8.730007997,-0.539991796,-0.069991807,-0.169991804,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1979,"CHITRADURGA IN",0,14.233,76.433,733,290,210,-22.347491245,8,0.1,-18.4199914,2.550008135,7.195008031,0.3950081835,-1.304991779,-1.9449917645,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"MADRAS MINAMBAKKAM IN",0,13,80.183,16,360,270,-22.80999123,85,0.07,-19.54999137,2.980008125,6.730008041,-0.999991786,-0.719991792,-1.189991781,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"MACHILIPATNAM IN",0,16.2,81.15,3,350,270,-22.15999125,8,0.1,-16.56999144,1.730008153,5.530008068,0.260008186,-1.199991781,-0.889991788,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"PBO ANANTAPUR IN",0,14.583,77.633,364,340,240,-22.28499125,8,0.1,-16.31999144,2.550008135,7.330008028,0.280008186,-1.189991781,-1.419991776,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"SURAT IN",0,21.2,72.833,12,330,235,-20.90749128,4,0.1,-11.334991555,-0.5299917965,7.24500803,1.42000816,-0.9699917865,0.020008191,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"PATNA IN",0,25.6,85.1,60,350,260,-20.45499129,46.5,0.085,-4.209991714,2.1300081445,2.9550081255,0.5150081805,-1.469991775,0.120008189,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"AGARTALA IN",7.5,23.883,91.25,16,320,250,-20.45749129,85,0.07,-3.974991719,0.8800081725,0.5150081805,0.98000817,0.880008172,3.410008116,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"BANGALORE IN",5,12.967,77.583,921,280,200,-22.85999123,85,0.07,-19.43999137,4.350008095,8.800007995,-0.669991793,-1.019991785,-2.869991744,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"GAUHATI IN",0,26.1,91.583,54,330,250,-21.11999127,8,0.1,-1.819991767,0.930008171,0.930008171,1.030008169,1.810008151,4.080008101,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"POONA IN",10,18.533,73.85,559,290,220,-21.85999126,85,0.07,-15.81999145,1.850008151,6.560008045,0.98000817,-0.519991796,-0.269991802,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"MANGALORE BAJPE IN",99,12.917,74.883,102,300,230,-23.05499123,8,0.1,-18.51999139,2.050008146,6.460008048,1.280008163,-0.019991808,-2.689991748,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"COIMBATORE PEELAMED IN",0,11.033,77.05,399,310,210,-23.12249123,8,0.1,-18.2299914,5.5550080675,9.720007976,-0.8449917895,-0.8449917895,-2.959991742,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"DIBRUGARH MOHANBAR IN",10,27.483,95.017,111,320,250,-19.8624913,8,0.1,5.7700080625,3.395008116,3.1050081225,-1.0649917845,2.990008125,4.020008102,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"PENDRA ROAD IN",0,22.767,81.9,625,320,230,-21.68249126,8,0.1,-6.1199916715,2.0650081455,1.9900081475,1.5800081565,-1.9599917645,-1.71999177,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"NAGPUR SONEGAON IN",0,21.1,79.05,310,330,240,-21.38249127,8,0.1,-12.114991535,1.3050081625,4.8450080835,1.020008169,-0.3449918005,-2.0099917635,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"NEW DELHI SAFDARJUN IN",0,28.583,77.2,216,360,260,-19.8199913,85,0.07,1.41000816,3.060008124,4.980008081,1.710008154,-2.919991743,-1.539991774,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"THIRUVANANTHAPURAM IN",7.5,8.483,76.95,64,300,230,-23.58249122,85,0.07,-20.26999136,6.255008052,11.030007945,-0.6549917935,-0.669991793,-3.0949917385,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"AHMADABAD IN",0,23.067,72.633,55,345,255,-20.58249128,46.5,0.085,-9.184991603,-0.889991788,4.335008095,1.4100081605,-1.2949917795,1.1050081675,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"RAJKOT IN",0,22.3,70.783,138,340,250,-20.48999129,85,0.07,-8.069991628,-1.884991766,4.3950080935,1.245008164,-2.694991748,1.570008157,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"CALCUTTA DUM DUM IN",10,22.65,88.45,6,330,260,-20.71499128,8,0.1,-9.0599916055,0.630008178,1.570008157,0.630008178,-0.7849917905,-0.054991807,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"JABALPUR IN",0,23.2,79.95,393,330,240,-21.05499127,8,0.1,-9.339991599,1.160008166,3.050008124,0.630008178,-1.419991776,-2.669991748,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"BHOPAL BAIRAGARH IN",0,23.283,77.35,523,330,230,-21.469991265,8,0.1,-9.819991587,0.320008185,1.7250081535,1.595008156,-0.179991804,-1.8699917665,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"JAGDALPUR IN",10,19.083,82.033,553,310,220,-21.12999127,85,0.07,-13.8199915,1.41000816,2.860008128,0.160008188,-1.319991779,-2.369991755,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"PORT BLAIR IN",30,11.667,92.717,79,300,240,-23.00999123,8,0.1,-16.58999144,1.780008152,5.150008077,-2.519991752,0.710008176,0.510008181,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"BALASORE IN",0,21.517,86.933,20,330,250,-20.80999128,8,0.1,-7.889991632,1.580008157,2.030008147,0.750008175,-0.639991794,0.08000819,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"INDORE IN",0,22.717,75.8,567,320,220,-20.82999128,8,0.1,-10.04999158,-0.989991786,2.380008139,1.530008158,-0.769991791,-0.589991795,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"GOA PANJIM IN",89,15.483,73.817,60,300,240,-22.65499124,8,0.1,-17.93999141,2.230008142,6.380008049,0.880008172,-1.539991774,-1.999991763,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"GADAG IN",0,15.417,75.633,650,290,210,-22.56999124,85,0.07,-18.2199914,2.980008125,7.210008031,0.880008172,-1.439991776,-2.16999176,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"RATNAGIRI IN",20,16.983,73.333,67,300,250,-21.92499125,8,0.1,-16.13999145,0.500008181,4.480008092,1.110008167,-0.839991789,-0.3399918,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"LUCKNOW AMAUSI IN",0,26.75,80.883,128,360,250,-19.49999131,85,0.07,0.99500817,3.4700081145,5.095008078,1.030008169,-0.80999179,-0.7049917925,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"AURANGABAD CHIKALTH IN",0,19.85,75.4,579,310,210,-21.22999127,85,0.07,-14.21999149,0.030008191,4.930008082,1.650008155,0.08000819,0.110008189,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"SHOLAPUR IN",0,17.667,75.9,479,330,230,-21.82749126,85,0.07,-16.209991445,2.32000814,7.970008014,0.8050081735,-0.5449917955,-0.404991799,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"BOMBAY SANTACRUZ IN",10,19.117,72.85,14,310,250,-21.13249127,8,0.1,-13.25499151,0.54500818,6.80500804,1.7650081525,-0.454991798,0.220008187,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"BHUBANESWAR IN",1.5,20.25,85.833,46,330,255,-21.18749127,8,0.1,-11.91999154,2.3450081395,3.160008121,0.505008181,-0.634991794,-0.7549917915,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"BELGAUM SAMBRA IN",20,15.85,74.617,747,270,200,-22.66999124,8,0.1,-17.69999141,2.930008126,6.730008041,0.330008185,-1.019991785,-2.069991762,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1979,"JAIPUR SANGANER IN",0,26.817,75.8,390,350,240,-20.0024913,85,0.07,1.465008159,1.820008151,3.5050081135,1.945008148,-3.534991729,-0.004991808,-0.23,-0.18,-0.03,0.18,0.13,0.04,0.27,0,-0.04,-0.17,-1.66,0.15,0.385,0.97,-2.135,-0.495,0.36,-0.085,1.26,1930,10.5
1980,"CHITRADURGA IN",1.5,14.233,76.433,733,290,210,-21.74749126,60,0.29,-17.91999141,5.5700080675,10.39500796,-1.6949917705,-0.7299917915,-2.1849917595,0.23,0.12,0.03,0.02,-0.06,-0.23,-0.24,0.03,-0.03,0.17,-0.885,-0.605,-1.105,0.695,0.51,0.005,0.63,-0.22,0.035,2021,23
1980,"MADRAS MINAMBAKKAM IN",0,13,80.183,16,355,260,-22.21499125,72,-0.06,-20.83499134,5.690008065,8.510008002,-2.014991763,0.4300081825,-1.2349917805,0.23,0.12,0.03,0.02,-0.06,-0.23,-0.24,0.03,-0.03,0.17,-0.885,-0.605,-1.105,0.695,0.51,0.005,0.63,-0.22,0.035,2021,23
